liquidity,n,corr_est_fwd,slope
illiquid (<$2m),686,0.245071848336325,0.4527395001824332
mid ($2-20m),5588,0.37091209665083524,0.6733317322930037
liquid (>$20m),5577,0.4777197155342677,0.7842457843159489
