step,Sharpe,ann,coins/day,n days
"1. factor: all spot coins, 2018+",0.8830019201109145,0.2629589203727094,194.04184354154032,3043
2. + sample restricted to 2021+,0.9249343235646899,0.223537970071256,291.018401937046,2038
3. + only coins with a live perp,0.4460436278880317,0.11681719112263411,191.07651331719129,2037
4. + short leg traded in perps,0.4370505108830148,0.11423561794363216,191.07651331719129,2037
5. + $5m liquidity screen,0.46315230320130435,0.13521422250771672,79.20338983050847,2006
6. + funding paid/received,0.5928391723609779,0.1738664099961081,79.20338983050847,2006
7. + 20bps execution,0.48000587198040057,0.14080546878093636,79.20338983050847,2006
