strategy,ann_ret,ann_vol,sharpe,max_dd,turnover
baseline (no timing),0.09468692108250379,0.25818583085663643,0.3667394169863677,-0.5569143879807212,10.766322397121577
"scaled 0-2x, W=21, daily",0.15656522068875195,0.2096331894722635,0.7468532109962818,-0.2966139156238098,17.55481694710337
"scaled 0-2x, W=21, monthly",0.13914107557983654,0.2007668108516119,0.6930481935217702,-0.3517065372166984,10.861219963349681
"scaled 0-2x, W=63, daily",0.1318816328603576,0.19268868357708838,0.6844285321384537,-0.3063223677734332,11.30543893479325
"scaled 0-2x, W=63, monthly",0.12510589830643734,0.1828409127738838,0.6842336127535833,-0.27948934430645045,8.684284988871244
"scaled 0-2x, W=90, daily",0.13144412822247684,0.17884140929461098,0.7349759138049782,-0.21386652871536285,9.939704227169528
"scaled 0-2x, W=90, monthly",0.10901521659249665,0.17158683764382934,0.6353355425710713,-0.19621797267833269,7.811763551640332
