strategy,ann_ret,ann_vol,sharpe,max_dd
1. gross (perp returns),0.09780651253398319,0.25743859765811367,0.37992171113312706,-0.5163848783239046
2. less funding,0.1199449065543612,0.2580858468618193,0.4647480984053357,-0.5226093931686666
3. less execution @ 7bps,0.11229108859643691,0.25811300345066757,0.4350462281839233,-0.5283325781598919
4. less execution @ 20bps,0.09807685524600612,0.2581888302552564,0.3798648266427451,-0.5536427656593068
5. less delisting exits,0.09468692108250379,0.25818583085663643,0.3667394169863677,-0.5569143879807212
