,beta,ann_ret,sharpe,alpha
Q1,0.8626419986442664,0.5113915192331302,0.7135215828983472,0.29449259403172173
Q2,0.9698479163569373,0.460891485050112,0.5824677972967792,0.21703717353125862
Q3,1.037440465480462,0.5715280590942009,0.6737774214137767,0.31067857312342345
Q4,1.0866238557221468,0.379188787071885,0.4318975533014578,0.10597284491424337
Q5,1.1479829897020917,0.30796064819446806,0.3294110399395643,0.019316834182158002
