,Sharpe Ratio,Return,Volatility,Max DD,Holding Period,Turnover,Transaction Costs,Market Beta,Alpha t,Sharpe H1,Sharpe H2,Names L,Names S
"rank-weighted, shrink w=0.4",0.8139391303276707,0.22787610733356117,0.2799670133094893,-0.39405099325303,100.64206420106738,0.01987240639266209,0.02792528539817934,-0.06807617742577099,1.5526343744451268,1.083115050779364,0.47559562398999516,147.050822122571,111.74289985052317
"rank-weighted, shrink w=0.6",0.8707744107456147,0.2390484712846144,0.2745239964963202,-0.43049160801714276,100.31173539839162,0.01993784667423935,0.02876378761017018,0.032418494140003404,1.5482180190920825,1.1966210419103067,0.4345621866185774,147.050822122571,111.74289985052317
"rank-weighted, shrink w=1.0",0.8047880058507598,0.2662303106988644,0.3308080000737911,-0.5389720699815606,97.74722858819058,0.02046093816558224,0.03134401296725957,0.23310450643883004,1.5334179616378318,1.2186668151748563,0.25278874877792507,147.050822122571,111.74289985052317
"quintile-weighted, shrink w=0.4",0.4340883757866049,0.1490017995211133,0.34325222197233324,-0.46767386526284077,75.45417673044476,0.02650615362413764,0.06950971054540238,-0.08274781504148537,0.989298698646445,0.5957314058063068,0.22807391528879967,58.48430493273543,46.49028400597907
"quintile-weighted, shrink w=0.6",0.4664199521022077,0.15819895747463464,0.3391770801433643,-0.5155574833982869,74.69302032320743,0.02677626358320647,0.0731759323901599,0.04251429992022285,0.963302725847352,0.7080600856147464,0.1351624815477157,58.48430493273543,46.49028400597907
"quintile-weighted, shrink w=1.0",0.42084106268716176,0.17774385838021622,0.4223538863942672,-0.6453659046636206,70.61246774786171,0.02832361003359161,0.08480784856287564,0.30276135267840776,0.876744839966362,0.7803674267415132,-0.05531385286168468,58.48430493273543,46.49028400597907
