,Sharpe Ratio,Return,Volatility,Max DD,Holding Period,Turnover,Transaction Costs,Market Beta,Alpha t,Sharpe H1,Sharpe H2,Names L,Names S
corr 365d / vol 90d,0.8590223049482226,0.25370740932046754,0.29534437913781486,-0.5011353926729023,69.85967250660401,0.028628820151009652,0.04434815742877248,0.10861366696510066,1.553146413408521,1.2543428705458723,0.3031571588455937,147.17638266068758,110.14549078226209
corr 365d / vol 180d,0.8707744107456147,0.2390484712846144,0.2745239964963202,-0.43049160801714276,100.31173539839162,0.01993784667423935,0.02876378761017018,0.032418494140003404,1.5482180190920825,1.1966210419103067,0.4345621866185774,147.050822122571,111.74289985052317
corr 365d / vol 365d,0.5099043695053987,0.14571939112994173,0.28577788276513066,-0.47033814311721556,162.28518208595696,0.012323984077244143,0.015079447060371773,0.0028201219344901,0.9745633883448409,0.9320497163025755,-0.05804989906419232,146.88191330343795,115.00697558545092
corr 730d / vol 90d,1.0916752569418178,0.3422725903762831,0.3135296767054279,-0.46608717448836673,68.75744782820374,0.029087757954558875,0.047123682660912186,0.11088623105323775,1.7994282882855877,1.5830484860960887,0.37733284488019264,127.71499750871948,95.64275037369208
corr 730d / vol 180d,1.2261261406239887,0.35547932922678466,0.2899206838913632,-0.38155185168496464,103.5178197552638,0.01932034508385501,0.027866996973361004,0.03901661293383067,1.8710554920605609,1.69995423130314,0.5596383773578093,127.60488290981564,95.83507722969607
corr 730d / vol 365d,1.006607405143807,0.27705731100800957,0.2752386974228828,-0.36041747487642595,147.75427189004134,0.013535987653124502,0.017291174464159835,-0.020930675215019064,1.6196760184323482,1.5980154282925063,0.23566969442778168,127.50772296960638,96.7045341305431
corr 1095d / vol 90d,1.0288825320660195,0.3452688974379422,0.33557659565337783,-0.4738974127177334,68.81957836498438,0.02906149743308521,0.04988275735733488,0.12237284837510136,1.8280218325536404,1.476520006241356,0.35917448664698187,109.60039860488291,83.6870951669158
corr 1095d / vol 180d,1.074917121028506,0.3304475746756769,0.3074167935472987,-0.39239230951151666,104.11252612298644,0.01920998437438193,0.029329371157240932,0.0558356520878711,1.8798090678367072,1.4222935517484747,0.5859778623786643,109.47135027404086,83.52566018933732
corr 1095d / vol 365d,0.9136043624603154,0.27129860915114473,0.29695415247421086,-0.33750494044340446,150.3176834926067,0.013305154480366703,0.017933925291393277,-0.004673009847851477,1.71956389715089,1.27672742543953,0.41041910318881003,109.41255605381166,83.72745391131042
corr 1460d / vol 90d,0.9326266375752466,0.31058336454917085,0.3330200447165677,-0.49527108960824356,67.26931754288812,0.029731236662611942,0.05313079724676911,0.11525158041256384,1.901774487221498,1.3883766241106772,0.2450109042575636,92.6417538614848,72.9412057797708
corr 1460d / vol 180d,1.0340586947729202,0.31294325109859766,0.3026358684284553,-0.37584979385872797,99.99960067297516,0.020000079865723892,0.03187368470272007,0.05404294474865791,2.070081846819838,1.292501463911647,0.6889334521253124,92.55356253114101,72.73243647234679
corr 1460d / vol 365d,0.6698313281655823,0.20875147685757975,0.31164782547461917,-0.43100075275811117,141.68491342641983,0.014115828930781999,0.020662044902571074,0.002515124368116289,1.4588900165240741,0.7580404592742146,0.5792965793169496,92.54359740906825,73.26706527154958
corr 1825d / vol 90d,0.33240254301745975,0.08623057133687521,0.2594160999915872,-0.4977048142036534,68.11654505918946,0.029361442190911358,0.05360818317074622,0.06326420304235648,0.8283357774357601,0.6466657862694081,-0.01609189685173496,85.00612813370473,68.6807799442897
corr 1825d / vol 180d,0.7638054566283508,0.18433372904717193,0.24133596774874083,-0.3818672881172943,100.50246225288754,0.01990000996162199,0.03296782778974441,0.01650026136767288,1.6391013174267208,1.0237427594535666,0.46620456403040494,84.9025069637883,68.45069637883009
corr 1825d / vol 365d,0.5844856878856103,0.1374884410452186,0.2352297821741128,-0.239001841946588,149.2930359061616,0.013396472165366798,0.02021497729877286,-0.02617702127623319,1.3755065174462238,0.5061036695059324,0.6712895081310912,84.92869080779944,68.41782729805014
