signal,rebal,scheme,minvol,timing,win,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n,market
beta+idvol,M,q20,5000000.0,fund63,0.5,0.9864108140051371,0.24953737990666056,0.25297510566967585,-0.31225756051514997,10.713685337779076,0.5295753005488417,1.3796699948605289,1704,
beta+idvol,W,q20,20000000.0,fund90,0.75,0.983315522749899,0.31143284438902646,0.3167171037004342,-0.39301939675011005,19.741335356675314,1.0425003061193552,0.9685180659045975,1673,
beta+funding,M,rank,50000000.0,none,0.5,0.9793619671476554,0.31081109638215354,0.3173607989774974,-0.32405947050633577,22.783765363379256,0.9475516265934608,1.013906104600411,2007,
beta+funding,M,q20,50000000.0,none,0.5,0.9724696583654366,0.4190478394763914,0.430910965572687,-0.46583845457371975,28.12356485029344,1.2683502876986148,0.6417244041056379,2007,
beta+idvol,M,q20,50000000.0,disp63,0.25,0.9656273604655868,0.581843736710391,0.6025551475983958,-0.970070665238135,24.493380635897037,0.856651202644184,1.0867319641827329,1734,
beta+idvol,M,q20,5000000.0,fund90,0.5,0.9570574410450959,0.22487736472928432,0.23496746912465438,-0.31013827334502303,9.834177894143465,0.6306167517571515,1.2502396149479116,1673,
beta+funding,W,rank,5000000.0,none,0.5,0.9542586015743066,0.2559497318159223,0.26821841730707396,-0.46616682495564504,31.851662435734436,0.6617335167895724,1.358040800502447,2021,
funding,W,rank,5000000.0,fund90,7.0,0.9490106214414115,0.1508541420515581,0.15895938216416608,-0.20764806522184281,52.04910476741807,0.26305673030444277,1.5097405193542823,1673,
beta+funding,W,rank,5000000.0,fund90,0.75,0.9453445881354517,0.15822816893683303,0.1673761831639762,-0.350760311652074,28.12240242240981,0.1255306539269607,1.5590065289754442,1673,
beta+idvol,W,q20,50000000.0,fund90,0.75,0.9381167988558327,0.3305085538167107,0.35231066560135477,-0.357341257900083,21.853942314112025,1.111428538746936,0.7863815300307774,1673,
beta+funding,M,q20,50000000.0,fund90,0.25,0.9304601931364181,0.3418581866453995,0.3674076431932628,-0.3477888762161552,15.372730405232673,0.3957156263897105,1.3910176253202542,1673,
beta_horizon,M,q20,20000000.0,fund90,1095.0,0.9292009567000458,0.2576137102780952,0.2772421922519126,-0.43503013758570674,11.444534492015793,0.15115357974793844,1.5666636386395414,1673,
beta_horizon,M,q20,20000000.0,none,1095.0,0.9235191826704854,0.3496425629548743,0.3785980513624348,-0.5525377091324193,15.999197431723424,0.3624220543071933,1.5857462175047943,2007,
funding,W,q20,5000000.0,none,21.0,0.9213590112670711,0.28234480551836044,0.3064438531187471,-0.39145281946244365,54.259690468686365,1.0283568267623737,0.8113588416112729,2021,
beta_horizon,M,q20,50000000.0,none,1095.0,0.9181299171295312,0.47084999978992265,0.5128359189753908,-0.7404994979306925,19.77985234006203,0.871087831923013,0.9950031670779226,2007,
funding,W,q20,20000000.0,none,7.0,0.9156919030792404,0.3085869861360787,0.33699870567641654,-0.49740735101842337,97.61734138073058,0.7157482540123734,1.141218555259789,2015,
funding,W,rank,20000000.0,none,21.0,0.9154487177310391,0.2506085855489,0.2737549146062918,-0.325933545888099,46.879515954054696,1.1308121550576298,0.6952058016600547,2021,
