shrinkage,realised_beta,t_beta,alpha_ann,t_alpha,sharpe,ann_vol,n_obs
no shrinkage (w=1.0),0.2688720309354095,10.122866433208847,0.18862803042872825,1.7290175354335577,0.7739320585665218,0.3396533132665062,2525.0
Vasicek (w~0.89),0.15088563764466423,7.12841705646328,0.17160763418808375,1.6700898682342795,0.7600291918650767,0.2806075887368075,2525.0
FP constant (w=0.6),0.07832898486138923,3.345907135423012,0.17493664152243646,1.771242104391649,0.7509717839758684,0.26174715492292755,2525.0
over-shrunk (w=0.4),-0.015792568943965635,-0.6891912172818674,0.16917762027824776,1.7660485796225045,0.6498386930006985,0.25362755509528745,2525.0
