open_time,days,base_sharpe,base_ann,timed_sharpe,timed_ann,avg_exposure,contribution
2021,30,,0.15662301959471644,,0.17834797005862846,0.9940119760479041,0.021724950463912013
2022,365,-1.2040262422677241,-0.33405796500378543,-1.2322891968720762,-0.11011399646222057,0.29956989613357665,0.22394396854156484
2023,365,-0.05390520505943119,-0.008390934024209599,-0.1402098392418931,-0.02208790898476131,0.9769360263857806,-0.013696974960551712
2024,366,1.552484724334866,0.37732222276047533,1.2659024303965505,0.361227796522104,1.1852506847289812,-0.016094426238371318
2025,365,0.9739586793848952,0.20824816649448522,2.025186330517382,0.33675651111628824,0.6816183979634932,0.12850834462180302
2026,212,-0.15318012040702936,-0.04424172101646436,0.03145533227321158,0.003929722253382049,0.3807536277259407,0.04817144326984641
