implementation,Sharpe,ann,vol,maxDD,mktbeta,t_alpha,turn,nL,nS,h1,h2
both legs perp ($20m) -- current,0.642387846369511,0.2442672682853935,0.3802488942869684,-0.592781324157023,0.07253127656969674,1.2816649770508628,18.910476657616865,86.55446516192346,86.55446516192346,0.33864536422863145,0.9423551498197653
LONG spot ($20m) / SHORT perp ($20m),0.9210357149315913,0.4263401818997935,0.46289212783834266,-0.5298293900043692,0.011051329530468602,1.9883656843162005,21.27805915103575,38.16192345436703,86.55446516192346,0.49154379289859396,1.4067900144010046
LONG spot ($5m)  / SHORT perp ($20m),0.47125996896325806,0.18266989796849675,0.38762023086823794,-0.7678549668016799,0.0736294963315525,0.9034920953714052,19.53615712347777,92.94651619234544,86.55446516192346,0.023964538587572075,0.939060407544105
LONG spot (no screen) / SHORT perp ($20m),0.7068838555099137,0.2658869959138342,0.3761395791420862,-0.4740194284930972,0.03581849502003444,1.4047137148538462,14.813596616094998,295.3115799803729,86.55446516192346,1.0224259575139114,0.3267024642231479
