signal,market,corr_win,vol_win,agg,shrink,rebal,scheme,minvol,timing,sharpe,ann,vol,maxdd,turnover,sh_h1,sh_h2,n
beta,eqw,730,180,3.0,0.8,W,q20,50000000.0,none,1.332060915634872,0.6570734213982411,0.4932758056977253,-0.4825871392899208,34.402222916273054,0.948558241024184,1.8174845833419786,2021
beta,eqw_top25,730,180,3.0,0.6,M,q20,20000000.0,none,1.3224019866711374,0.5525991293506948,0.4178753018526116,-0.47663965202138814,20.157998589453374,1.0374373106596515,1.6240190400577892,2007
beta,advw_top100,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.313019063415642,0.2433404983965459,0.18532899115990625,-0.20808333670873952,8.480894753652889,0.5631875133484652,1.9178394823335387,1673
beta,eqw,730,180,3.0,1.0,M,q20,50000000.0,none,1.305581540151443,0.791538837554909,0.6062730003543809,-0.6240333333713748,22.714801945729832,1.340645138925184,1.2875888847121946,2007
beta,eqw_top25,730,180,3.0,1.0,M,q20,20000000.0,none,1.3034216336717703,0.6766129121546086,0.5191051726282719,-0.6632262358149563,21.931045452701607,1.1232569524061067,1.5001932696768805,2007
beta,sqrt_advw,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.2991309469337364,0.4092456008775095,0.31501489656868553,-0.2876564604554577,13.307167013520294,1.0784831733561737,1.489252101427403,1673
beta,advw,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.296911430119831,0.39102467548728465,0.3015045333135471,-0.26567755398615817,13.300883293162062,0.8908079572913694,1.629736775876253,1673
beta,advw,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.2944153256023514,0.2393657320614857,0.18492189278591686,-0.20782413128183175,8.457994484915355,0.548055416061011,1.8954961570284423,1673
beta,eqw,730,180,3.0,0.4,M,q20,20000000.0,none,1.2935068907971776,0.5301051021607132,0.40982008362863354,-0.598046682648236,18.913064940125064,1.3616355635070816,1.221954252291915,2007
beta,advw_top100,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.2923814914385194,0.2525608274072129,0.1954228136818126,-0.20247953807973482,9.31943562271017,0.3578002314565137,2.0358574504754117,1704
beta,eqw,730,180,3.0,0.8,M,q20,20000000.0,none,1.289993188887235,0.5681066728391594,0.44039509489907896,-0.5840212481746381,19.164753706213734,1.383659486767294,1.1886995110313863,2007
beta,eqw,730,180,3.0,0.6,W,q20,50000000.0,fund90,1.2873043752652882,0.46610914439925283,0.3620815351483575,-0.2955356921233403,22.75692565852602,0.6389910997120386,1.8694843326895412,1673
beta,sqrt_advw,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.284471582911405,0.3951646891652395,0.3076476696117733,-0.2974951279146152,13.327579506661731,1.1446577473499442,1.4119992939711887,1673
beta,eqw,730,180,3.0,0.4,W,q20,50000000.0,none,1.2824047786506318,0.6166839676321146,0.4808809027372777,-0.47520528376933946,32.79838679575484,0.8402936886832686,1.793147439693677,2021
beta,advw,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.2811778126817852,0.24980280310019407,0.19497902682009624,-0.20338428296300168,9.29253313300166,0.3417846512008535,2.030323485224227,1704
beta,btceth,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.2811414154276466,0.37072064325461795,0.28936746466108965,-0.23612378604919293,13.261555434181584,0.5628527929357096,1.8687688980021688,1673
beta,advw,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.2735773557810481,0.37317817712070067,0.2930157131223814,-0.26072039612116354,13.142443204820252,0.9517625443237491,1.5561285272532677,1673
beta,eqw,730,180,3.0,0.4,W,q20,50000000.0,fund90,1.2661663606235969,0.47908741175756686,0.37837635452707225,-0.3111084861463732,22.448145870545787,0.49581555219401263,1.9428770182009172,1673
beta,eqw_top25,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.264054535101351,0.25773627631622337,0.20389648481072709,-0.20822807023113502,9.073522102880245,0.5062369845506939,1.8750777475851814,1673
beta,eqw_top100,730,180,3.0,0.8,M,q20,50000000.0,none,1.2587145351269424,0.7033267662259626,0.5587659048960069,-0.6386178225439489,23.27328403880608,1.1491609223400236,1.4235132648457207,2007
beta,btceth,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.2565089429245586,0.2391834961987438,0.19035558604305491,-0.1721094436954887,9.100031610447717,0.4480299476886783,1.8860687611219737,1704
beta,eqw_top100,730,180,3.0,0.6,M,q20,50000000.0,none,1.2518220021068462,0.6567275679220448,0.5246173711731833,-0.6150063180990633,22.44799285730958,1.1284383543369325,1.4207603637295585,2007
beta,btceth,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.2494776794356648,0.22671935500092055,0.18145130459899045,-0.18113271395044578,8.23541067172691,0.5113243190272014,1.855525562407117,1673
beta,eqw_top25,730,180,3.0,0.4,M,rank,5000000.0,fund63,1.244863108271685,0.26653244429042267,0.21410582619037122,-0.2069585211958818,9.971225807456705,0.25167046505741386,2.044571569895094,1704
beta,eqw_top25,730,180,3.0,0.6,M,q20,20000000.0,fund90,1.2436250035460386,0.4140752264602234,0.33295826738730766,-0.36967747917698573,14.570370694313752,0.9443034047880802,1.5100338007080243,1673
beta,sqrt_advw,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.2433197247019092,0.41035567012099994,0.3300483873682486,-0.29363759825677627,14.409878557277079,1.035477607295373,1.4241003530270904,1704
beta,sqrt_advw,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.2425893411588231,0.4010869209379249,0.3227831654856111,-0.30396198670579944,14.43523574048805,1.1785684166708281,1.303534639104181,1704
beta,advw_top100,730,180,3.0,0.4,M,q20,20000000.0,fund90,1.2423201944693616,0.37622121598420805,0.30283755963969117,-0.2664330731592701,13.112920184328999,0.8069536806788066,1.5970109080685824,1673
beta,advw,730,180,3.0,0.4,M,q20,20000000.0,fund63,1.2415789483040507,0.3929759917538839,0.3165130918905109,-0.2942674367881932,14.372550287674272,0.8538881622068609,1.5619874746205593,1704
beta,eqw_top100,730,180,3.0,0.4,M,rank,5000000.0,fund90,1.2392043482512674,0.2470512500335006,0.19936280112487723,-0.23257008396116463,8.81713095067622,0.4191985346228765,1.8973279641107277,1673
beta,advw,730,180,3.0,0.6,M,q20,20000000.0,fund63,1.2350624801632268,0.3806813531544362,0.3082284169980818,-0.29811422115195074,14.202711932544307,0.9886360270202758,1.4491636874918215,1704
beta,eqw,730,180,3.0,1.0,W,q20,50000000.0,none,1.2349984832752987,0.6851384903622212,0.554768689711414,-0.6848142243812099,36.13309512257812,0.941247491361832,1.595499700491887,2021
