,Sharpe Ratio,Return,Volatility,Max DD,Holding Period,Turnover,Transaction Costs,Market Beta,Alpha t,Sharpe H1,Sharpe H2,Names L,Names S
$1m,0.918911449308254,0.25213274183514084,0.27438197883478704,-0.4219907412209458,100.31173539839162,0.01993784667423935,0.015679517059643714,0.03249776772335584,1.6340380842459057,1.2452687939844433,0.48397906156008397,147.050822122571,111.74289985052317
$5m,0.8707744107456147,0.2390484712846144,0.2745239964963202,-0.43049160801714276,100.31173539839162,0.01993784667423935,0.02876378761017018,0.032418494140003404,1.5482180190920825,1.1966210419103067,0.4345621866185774,147.050822122571,111.74289985052317
$20m,0.7833352021781519,0.21537880349971242,0.2749510080752497,-0.44563292899061674,100.31173539839162,0.01993784667423935,0.05243345539507221,0.03227508688051386,1.3927543111571319,1.1080238600019947,0.34510188661364677,147.050822122571,111.74289985052317
$50m,0.6813693028827186,0.1878680774097136,0.27572136962273824,-0.46276054596982236,100.31173539839162,0.01993784667423935,0.079944181485071,0.03210840782650319,1.2118363119439743,1.0043555077512074,0.24123208683235836,147.050822122571,111.74289985052317
$100m,0.5664200323622842,0.15686416672576087,0.2769396521368615,-0.48147244342101697,100.31173539839162,0.01993784667423935,0.11094809216902378,0.0319205646381218,1.0078527031729785,0.887068259518014,0.12465645798096292,147.050822122571,111.74289985052317
$250m,0.34000121427914975,0.09534831307814655,0.2804352133868061,-0.5583541396893794,100.31173539839162,0.01993784667423935,0.17246394581663807,0.031547858942928594,0.6037293455983392,0.6548935195218393,-0.10362079628112511,147.050822122571,111.74289985052317
$500m,0.09097316758023967,0.026021461220496166,0.2860344639263534,-0.6895818264025857,100.31173539839162,0.01993784667423935,0.24179079767428843,0.031127828804597503,0.15115592199523759,0.3980370940260719,-0.35311562888795744,147.050822122571,111.74289985052317
